Table with row headers in column A and column headers in rows 4 through 7,,,,,,,,,,,,,
"Table A-7.
Number and Real Median Earnings of Total Workers and Full-Time, Year-Round Workers With Earnings by Sex and Female-to-Male Earnings Ratio: 1960 to 2022",,,,,,,,,,,,,
"(Earnings in 2022 dollars, adjusted using the C-CPI-U (2000-2022) and R-CPI-U-RS (pre-2000). People 15 years and older as of March of the following year beginning in 1980, and people 14 years old and older as of March of the following year for previous years. Before 1989, earnings are for civilian workers only. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>)",,,,,,,,,,,,,
Year,Total workers,,,,,,"Full-time, year-round workers",,,,,,
,Male,,,Female,,,Male,,,Female,,,Female-to-male earnings ratio
,Number of workers (thousands),Median earnings (dollars),,Number of workers (thousands),Median earnings (dollars),,Number of workers (thousands),Median earnings (dollars),,Number of workers (thousands),Median earnings (dollars),,
,,Estimate,Margin of error1 (±),,Estimate,Margin of error1 (±),,Estimate,Margin of error1 (±),,Estimate,Margin of error1 (±),
2022,"90,380","52,770","1,081","80,490","41,320",258,"68,570","62,350",497,"52,790","52,360",354,0.840
2021,"88,940","54,970",239,"79,100","42,270",811,"66,370","65,970",317,"50,990","55,240",318,0.837
2020 2,"88,650","55,400","1,048","79,500","40,420",343,"60,300","69,160",319,"46,000","57,500",312,0.831
2019,"89,020","55,550",936,"80,780","40,810",303,"67,120","65,440",985,"52,040","53,870",418,0.823
2018,"88,120","54,030",470,"79,440","37,740",798,"67,210","63,910",549,"50,800","52,130",562,0.816
2017 3,"88,020","53,140",795,"78,290","37,600",225,"66,500","61,530",264,"49,230","50,250","1,028",0.817
2017,"88,100","52,360","1,447","78,200","37,270",202,"66,380","61,490",266,"49,290","49,500",244,0.805
2016,"86,890","50,660",282,"77,740","37,050",243,"64,950","61,960",253,"48,330","49,860",294,0.805
2015,"86,440","50,370",279,"76,970","36,610",213,"63,890","61,990",271,"47,210","49,320",291,0.796
2014,"84,490","49,160",259,"75,570","34,350",573,"62,460","60,940",263,"46,230","47,930",868,0.786
2013 4,"83,860","49,350",611,"74,820","33,600",569,"61,240","61,360","1,146","44,630","47,590","1,405",0.776
2013 5,"83,560","48,950",882,"74,550","34,030",735,"60,770","61,380",496,"45,070","48,040",733,0.783
2012,"83,000","47,080",846,"74,190","33,380",280,"59,010","61,340",954,"44,040","46,920",737,0.765
2011,"81,370","47,260",346,"73,090","33,600",275,"57,990","61,010",987,"43,680","46,980",321,0.770
2010 6,"80,860","48,000",341,"72,720","34,590",281,"56,280","62,570","1,050","43,180","48,140",313,0.769
2009 7,"81,930","48,060",257,"72,970","34,430",202,"56,050","62,340",320,"43,220","47,990",228,0.770
2008,"84,040","48,180",232,"74,540","33,790",210,"59,860","61,090",314,"44,160","47,100",230,0.771
2007,"84,480","50,040",238,"74,300","35,350",204,"62,980","61,620",337,"45,610","47,940",229,0.778
2006,"83,930","50,260",247,"73,680","34,270",353,"63,060","59,200",203,"44,660","45,550",426,0.769
2005,"82,930","49,520",666,"72,480","33,260",339,"61,500","59,660",213,"43,350","45,920",192,0.770
2004 8,"81,450","48,180",393,"71,930","33,010",193,"60,090","60,510",220,"42,380","46,340",193,0.766
2003,"80,510","48,730",198,"71,370","33,460",203,"58,770","61,830",225,"41,910","46,710",208,0.755
2002,"80,500","49,120",209,"71,410","33,260",191,"58,760","61,200",623,"41,880","46,880",204,0.766
2001,"80,210","49,290",204,"71,230","32,770",204,"58,710","60,150",667,"41,640","45,910",427,0.763
2000 9,"80,490","49,730",206,"71,660","32,570",204,"59,600","59,860",267,"41,720","44,130",270,0.737
1999 10,"79,320","50,000",396,"71,050","30,650",443,"58,300","60,490",372,"40,870","43,740",309,0.723
1998,"77,300","48,790",650,"68,850","30,060",449,"56,950","59,970",371,"38,790","43,880",329,0.732
1997,"76,690","46,170",345,"67,740","28,750",306,"54,910","57,910",908,"37,680","42,950",439,0.742
1996,"76,120","45,300",355,"66,660","28,160",315,"53,790","56,470",332,"36,430","41,650",480,0.738
1995 11,"74,620","45,110",469,"65,560","27,630",303,"52,670","56,790",341,"35,480","40,560",406,0.714
1994 12,"74,260","43,660",562,"64,710","26,440",398,"51,580","56,950",376,"34,160","40,980",334,0.720
1993 13,"73,200","42,330",406,"63,660","26,210",422,"49,820","57,350",363,"33,520","41,020",298,0.715
1992 14,"73,120","42,330",366,"62,410","26,150",426,"48,550","58,360",362,"33,240","41,310",324,0.708
1991,"72,040","43,320",359,"61,800","25,530",408,"47,890","58,310",720,"32,440","40,730",319,0.699
1990,"72,350","44,200",345,"61,730","25,160",270,"49,170","56,850",699,"31,680","40,710",429,0.716
1989,"72,050","46,040",368,"61,340","25,280",276,"49,680","58,860",397,"31,340","40,420",446,0.687
1988,"70,470","46,340",418,"60,660","24,950",292,"48,290","59,930",433,"31,240","39,580",466,0.660
1987 15,"69,550","46,200",556,"59,360","24,760",268,"47,010","60,490",414,"29,910","39,430",303,0.652
1986,"68,730","45,270",551,"57,690","24,140",329,"45,910","60,870",428,"28,420","39,120",337,0.643
